item_id,Item Code,Brand,L1,Product Priority,Social Nudge
7540496,949212,Lakme,Makeup,1.0,1000+ units sold in the last month
7559242,949213,Lakme,Makeup,2.0,1000+ units sold in the last month
7577679,1128361,Be Bodywise,Fragrance,3.0,1000+ units sold in the last month
7614121,1165924,Beauty of Joseon,Skin,4.0,1000+ units sold in the last month
8574543,REWARD-1142438,RENEE,Makeup,5.0,1000+ units sold in the last month
7597907,1143221,Beauty of Joseon,Skin,6.0,1000+ units sold in the last month
7615344,1165191,L'Oreal Paris,Makeup,7.0,1000+ units sold in the last month
8576384,1179429,FENTY BEAUTY,Makeup,8.0,1000+ units sold in the last month
7559256,891948,Lakme,Makeup,9.0,1000+ units sold in the last month
7608915,REWARD-1075871,PAC,Makeup,10.0,500+ units sold in the last month
7522436,1023400,COSRX,Skin,11.0,1000+ units sold in the last month
8722302,REWARD-952444,essence,Makeup,12.0,500+ units sold in the last month
8576339,1179427,FENTY BEAUTY,Makeup,13.0,500+ units sold in the last month
7559280,406760,Lakme,Makeup,14.0,1000+ units sold in the last month
7575628,COMBO_231018085011-0KZ,Nivea,Skin,15.0,1000+ units sold in the last month
7608432,1154593,The Ordinary,Skin,16.0,1000+ units sold in the last month
7608829,1157775,TIRTIR,Makeup,17.0,1000+ units sold in the last month
7608535,1158500,Sheglam,Makeup,18.0,1000+ units sold in the last month
7597917,1143223,Beauty of Joseon,Skin,19.0,1000+ units sold in the last month
9462045,1199106,PAULA'S CHOICE,Skin,20.0,
7589963,1131724,WishCare,Makeup,21.0,1000+ units sold in the last month
7613619,REWARD-1158500,Sheglam,Makeup,22.0,500+ units sold in the last month
8810408,1192210,Dr.Althea,Skin,23.0,1000+ units sold in the last month
7608528,1158507,Sheglam,Makeup,24.0,1000+ units sold in the last month
8732537,1188613,Celimax,Skin,25.0,1000+ units sold in the last month
7595618,1138298,KIKO Milano,Makeup,26.0,1000+ units sold in the last month
7612640,1162044,Axis-Y,Skin,27.0,1000+ units sold in the last month
7594277,1136962,Innisfree,Makeup,28.0,1000+ units sold in the last month
7545885,411660,Bioderma,Skin,29.0,1000+ units sold in the last month
7608423,1154583,The Ordinary,Skin,30.0,1000+ units sold in the last month
7551198,1086247,WishCare,Hair,31.0,1000+ units sold in the last month
8576474,1179464,FENTY BEAUTY,Makeup,32.0,500+ units sold in the last month
7576858,1129263,Plum,Skin,33.0,1000+ units sold in the last month
7598157,1142438,RENEE,Makeup,34.0,1000+ units sold in the last month
7608549,1158508,Sheglam,Makeup,35.0,500+ units sold in the last month
7531694,1023970,Plum,Skin,36.0,1000+ units sold in the last month
7593991,1134042,Wishcare,Fragrance,37.0,1000+ units sold in the last month
9462043,1199105,PAULA'S CHOICE,Skin,38.0,
7546935,1079995,Lakme,Skin,39.0,1000+ units sold in the last month
7575823,COMBO_231020115938-EVU,L'Oreal Professionnel,Hair,40.0,1000+ units sold in the last month
7543190,1087356,Etude,Makeup,41.0,1000+ units sold in the last month
7522232,1023399,COSRX,Skin,42.0,1000+ units sold in the last month
7554476,1088054,Maybelline New York,Makeup,43.0,1000+ units sold in the last month
7551202,1086250,WishCare,Bath & Body,44.0,1000+ units sold in the last month
7608411,1154590,The Ordinary,Hair,45.0,500+ units sold in the last month
7596087,1137646,WishCare,Skin,46.0,1000+ units sold in the last month
